Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Drop_timestamp,Request_hour,Request_day,Time_slot
1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9.0,Tuesday,Early Morning
2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16.0,Tuesday,Evening
2847,Airport,4.0,Trip Completed,,,,,Late Night
3722,Airport,4.0,Trip Completed,,,,,Late Night
4075,City,4.0,Trip Completed,,,,,Late Night
4686,City,4.0,Trip Completed,,,,,Late Night
5771,Airport,4.0,Trip Completed,,,,,Late Night
6106,Airport,4.0,Trip Completed,,,,,Late Night
312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,7.0,Monday,Early Morning
577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11.0,Monday,Day
1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,20.0,Monday,Night
1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,8.0,Tuesday,Early Morning
2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,14.0,Tuesday,Day
2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,21.0,Tuesday,Night
3014,City,5.0,Trip Completed,,,,,Late Night
3317,City,5.0,Trip Completed,,,,,Late Night
4297,City,5.0,Trip Completed,,,,,Late Night
5857,Airport,5.0,Trip Completed,,,,,Late Night
6690,Airport,5.0,Trip Completed,,,,,Late Night
1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,5.0,Tuesday,Early Morning
1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,13.0,Tuesday,Day
2960,Airport,6.0,Trip Completed,,,,,Late Night
3882,City,6.0,Trip Completed,,,,,Late Night
4081,Airport,6.0,Trip Completed,,,,,Late Night
4740,City,6.0,Trip Completed,,,,,Late Night
5270,City,6.0,Trip Completed,,,,,Late Night
6758,Airport,6.0,Trip Completed,,,,,Late Night
5741,City,6.0,Trip Completed,,,,,Late Night
6087,Airport,6.0,Trip Completed,,,,,Late Night
1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,19.0,Monday,Evening
1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,22.0,Monday,Night
2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,20.0,Tuesday,Night
4105,City,7.0,Trip Completed,,,,,Late Night
4509,City,7.0,Trip Completed,,,,,Late Night
4986,Airport,7.0,Trip Completed,,,,,Late Night
5898,City,7.0,Trip Completed,,,,,Late Night
6142,Airport,7.0,Trip Completed,,,,,Late Night
380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8.0,Monday,Early Morning
1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19.0,Monday,Evening
1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8.0,Tuesday,Early Morning
2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21.0,Tuesday,Night
3265,Airport,8.0,Trip Completed,,,,,Late Night
4648,City,8.0,Trip Completed,,,,,Late Night
449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9.0,Monday,Early Morning
846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17.0,Monday,Evening
1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23.0,Monday,Night
1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5.0,Tuesday,Early Morning
2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18.0,Tuesday,Evening
3072,Airport,9.0,Trip Completed,,,,,Late Night
3459,Airport,9.0,Trip Completed,,,,,Late Night
3774,Airport,9.0,Trip Completed,,,,,Late Night
4023,City,9.0,Trip Completed,,,,,Late Night
4117,City,9.0,Trip Completed,,,,,Late Night
4880,Airport,9.0,Trip Completed,,,,,Late Night
5568,Airport,9.0,Trip Completed,,,,,Late Night
5994,Airport,9.0,Trip Completed,,,,,Late Night
1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9.0,Tuesday,Early Morning
2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15.0,Tuesday,Day
3210,City,10.0,Trip Completed,,,,,Late Night
4350,City,10.0,Trip Completed,,,,,Late Night
4713,City,10.0,Trip Completed,,,,,Late Night
5629,Airport,10.0,Trip Completed,,,,,Late Night
6157,Airport,10.0,Trip Completed,,,,,Late Night
2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14.0,Tuesday,Day
3226,City,11.0,Trip Completed,,,,,Late Night
3353,City,11.0,Trip Completed,,,,,Late Night
4293,City,11.0,Trip Completed,,,,,Late Night
4936,City,11.0,Trip Completed,,,,,Late Night
5661,Airport,11.0,Trip Completed,,,,,Late Night
5778,City,11.0,Trip Completed,,,,,Late Night
6425,Airport,11.0,Trip Completed,,,,,Late Night
45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3.0,Monday,Late Night
264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6.0,Monday,Early Morning
1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21.0,Monday,Night
1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5.0,Tuesday,Early Morning
2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20.0,Tuesday,Night
2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22.0,Tuesday,Night
4077,Airport,12.0,Trip Completed,,,,,Late Night
4610,City,12.0,Trip Completed,,,,,Late Night
5066,Airport,12.0,Trip Completed,,,,,Late Night
5666,Airport,12.0,Trip Completed,,,,,Late Night
5923,City,12.0,Trip Completed,,,,,Late Night
6367,City,12.0,Trip Completed,,,,,Late Night
155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5.0,Monday,Early Morning
310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7.0,Monday,Early Morning
607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11.0,Monday,Day
1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19.0,Monday,Evening
1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8.0,Tuesday,Early Morning
3076,City,13.0,Trip Completed,,,,,Late Night
4198,Airport,13.0,Trip Completed,,,,,Late Night
4627,City,13.0,Trip Completed,,,,,Late Night
5289,City,13.0,Trip Completed,,,,,Late Night
5495,Airport,13.0,Trip Completed,,,,,Late Night
6656,Airport,13.0,Trip Completed,,,,,Late Night
139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5.0,Monday,Early Morning
215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6.0,Monday,Early Morning
1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9.0,Tuesday,Early Morning
2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21.0,Tuesday,Night
3346,City,14.0,Trip Completed,,,,,Late Night
5294,City,14.0,Trip Completed,,,,,Late Night
6226,Airport,14.0,Trip Completed,,,,,Late Night
6733,Airport,14.0,Trip Completed,,,,,Late Night
1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19.0,Monday,Evening
2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,,23.0,Tuesday,Night
3200,City,15.0,Trip Completed,,,,,Late Night
3865,City,15.0,Trip Completed,,,,,Late Night
4468,City,15.0,Trip Completed,,,,,Late Night
5163,Airport,15.0,Trip Completed,,,,,Late Night
6009,City,15.0,Trip Completed,,,,,Late Night
6448,Airport,15.0,Trip Completed,,,,,Late Night
591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11.0,Monday,Day
709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14.0,Monday,Day
1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20.0,Monday,Night
2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,,23.0,Tuesday,Night
2808,City,16.0,Trip Completed,,,,,Late Night
3258,Airport,16.0,Trip Completed,,,,,Late Night
3413,Airport,16.0,Trip Completed,,,,,Late Night
3939,Airport,16.0,Trip Completed,,,,,Late Night
4125,City,16.0,Trip Completed,,,,,Late Night
4457,City,16.0,Trip Completed,,,,,Late Night
4728,City,16.0,Trip Completed,,,,,Late Night
5347,Airport,16.0,Trip Completed,,,,,Late Night
6147,City,16.0,Trip Completed,,,,,Late Night
6496,Airport,16.0,Trip Completed,,,,,Late Night
634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12.0,Monday,Day
939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18.0,Monday,Evening
2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22.0,Tuesday,Night
3021,City,17.0,Trip Completed,,,,,Late Night
4743,City,17.0,Trip Completed,,,,,Late Night
4981,City,17.0,Trip Completed,,,,,Late Night
5367,Airport,17.0,Trip Completed,,,,,Late Night
5471,Airport,17.0,Trip Completed,,,,,Late Night
5988,Airport,17.0,Trip Completed,,,,,Late Night
6477,Airport,17.0,Trip Completed,,,,,Late Night
499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9.0,Monday,Early Morning
1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20.0,Monday,Night
1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3.0,Tuesday,Late Night
1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9.0,Tuesday,Early Morning
1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11.0,Tuesday,Day
2713,City,18.0,Trip Completed,,,,,Late Night
2845,City,18.0,Trip Completed,,,,,Late Night
3943,Airport,18.0,Trip Completed,,,,,Late Night
4792,City,18.0,Trip Completed,,,,,Late Night
5207,Airport,18.0,Trip Completed,,,,,Late Night
5890,City,18.0,Trip Completed,,,,,Late Night
494,City,19.0,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9.0,Monday,Early Morning
1485,City,19.0,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5.0,Tuesday,Early Morning
2042,City,19.0,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,14.0,Tuesday,Day
2561,Airport,19.0,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,21.0,Tuesday,Night
3813,Airport,19.0,Trip Completed,,,,,Late Night
4260,Airport,19.0,Trip Completed,,,,,Late Night
4395,City,19.0,Trip Completed,,,,,Late Night
5919,City,19.0,Trip Completed,,,,,Late Night
6002,Airport,19.0,Trip Completed,,,,,Late Night
468,City,20.0,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,9.0,Monday,Early Morning
693,Airport,20.0,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,13.0,Monday,Day
1178,City,20.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,21.0,Monday,Night
2103,City,20.0,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,16.0,Tuesday,Evening
2292,Airport,20.0,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,18.0,Tuesday,Evening
3339,City,20.0,Trip Completed,,,,,Late Night
3694,City,20.0,Trip Completed,,,,,Late Night
4469,City,20.0,Trip Completed,,,,,Late Night
6432,City,20.0,Trip Completed,,,,,Late Night
1895,City,21.0,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,10.0,Tuesday,Day
1981,Airport,21.0,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,12.0,Tuesday,Day
3744,Airport,21.0,Trip Completed,,,,,Late Night
4433,Airport,21.0,Trip Completed,,,,,Late Night
6039,Airport,21.0,Trip Completed,,,,,Late Night
6543,City,21.0,Trip Completed,,,,,Late Night
110,City,22.0,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,5.0,Monday,Early Morning
362,City,22.0,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,8.0,Monday,Early Morning
666,Airport,22.0,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,13.0,Monday,Day
926,City,22.0,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,18.0,Monday,Evening
1180,Airport,22.0,Trip Completed,2016-07-11 21:01:00,2016-07-11 22:14:00,21.0,Monday,Night
1900,City,22.0,Trip Completed,2016-07-12 10:32:00,2016-07-12 11:42:00,10.0,Tuesday,Day
2506,City,22.0,Trip Completed,2016-07-12 21:01:00,2016-07-12 21:38:00,21.0,Tuesday,Night
3064,City,22.0,Trip Completed,,,,,Late Night
3327,Airport,22.0,Trip Completed,,,,,Late Night
3601,City,22.0,Trip Completed,,,,,Late Night
4768,Airport,22.0,Trip Completed,,,,,Late Night
5142,City,22.0,Trip Completed,,,,,Late Night
5366,Airport,22.0,Trip Completed,,,,,Late Night
5575,City,22.0,Trip Completed,,,,,Late Night
5902,City,22.0,Trip Completed,,,,,Late Night
6694,Airport,22.0,Trip Completed,,,,,Late Night
523,Airport,23.0,Trip Completed,2016-07-11 09:48:00,2016-07-11 10:37:00,9.0,Monday,Early Morning
747,City,23.0,Trip Completed,2016-07-11 15:53:00,2016-07-11 16:43:00,15.0,Monday,Day
1371,Airport,23.0,Trip Completed,2016-07-12 00:22:00,2016-07-12 01:33:00,0.0,Tuesday,Late Night
1553,City,23.0,Trip Completed,2016-07-12 06:09:00,2016-07-12 07:09:00,6.0,Tuesday,Early Morning
1692,Airport,23.0,Trip Completed,2016-07-12 07:52:00,2016-07-12 09:01:00,7.0,Tuesday,Early Morning
2114,City,23.0,Trip Completed,2016-07-12 16:36:00,2016-07-12 17:21:00,16.0,Tuesday,Evening
2742,City,23.0,Trip Completed,,,,,Late Night
4273,City,23.0,Trip Completed,,,,,Late Night
4668,City,23.0,Trip Completed,,,,,Late Night
5425,City,23.0,Trip Completed,,,,,Late Night
5488,City,23.0,Trip Completed,,,,,Late Night
5781,City,23.0,Trip Completed,,,,,Late Night
5966,Airport,23.0,Trip Completed,,,,,Late Night
6122,City,23.0,Trip Completed,,,,,Late Night
357,Airport,24.0,Trip Completed,2016-07-11 08:00:00,2016-07-11 09:08:00,8.0,Monday,Early Morning
1068,City,24.0,Trip Completed,2016-07-11 19:52:00,2016-07-11 20:48:00,19.0,Monday,Evening
2689,Airport,24.0,Trip Completed,,,,,Late Night
2791,City,24.0,Trip Completed,,,,,Late Night
3321,City,24.0,Trip Completed,,,,,Late Night
3423,Airport,24.0,Trip Completed,,,,,Late Night
3761,Airport,24.0,Trip Completed,,,,,Late Night
4140,City,24.0,Trip Completed,,,,,Late Night
4656,City,24.0,Trip Completed,,,,,Late Night
4931,Airport,24.0,Trip Completed,,,,,Late Night
5268,City,24.0,Trip Completed,,,,,Late Night
5811,City,24.0,Trip Completed,,,,,Late Night
6139,Airport,24.0,Trip Completed,,,,,Late Night
6333,Airport,24.0,Trip Completed,,,,,Late Night
773,City,25.0,Trip Completed,2016-07-11 16:23:00,2016-07-11 17:21:00,16.0,Monday,Evening
1123,City,25.0,Trip Completed,2016-07-11 20:20:00,2016-07-11 21:18:00,20.0,Monday,Night
2667,Airport,25.0,Trip Completed,2016-07-12 23:35:00,,23.0,Tuesday,Night
2833,City,25.0,Trip Completed,,,,,Late Night
3396,City,25.0,Trip Completed,,,,,Late Night
3590,City,25.0,Trip Completed,,,,,Late Night
3762,City,25.0,Trip Completed,,,,,Late Night
4566,City,25.0,Trip Completed,,,,,Late Night
4862,City,25.0,Trip Completed,,,,,Late Night
5564,Airport,25.0,Trip Completed,,,,,Late Night
6187,City,25.0,Trip Completed,,,,,Late Night
6642,City,25.0,Trip Completed,,,,,Late Night
322,City,26.0,Trip Completed,2016-07-11 07:31:00,2016-07-11 08:10:00,7.0,Monday,Early Morning
793,City,26.0,Trip Completed,2016-07-11 17:04:00,2016-07-11 18:06:00,17.0,Monday,Evening
898,Airport,26.0,Trip Completed,2016-07-11 18:14:00,2016-07-11 19:09:00,18.0,Monday,Evening
1258,City,26.0,Trip Completed,2016-07-11 21:51:00,2016-07-11 23:00:00,21.0,Monday,Night
2832,City,26.0,Trip Completed,,,,,Late Night
3139,City,26.0,Trip Completed,,,,,Late Night
3438,City,26.0,Trip Completed,,,,,Late Night
3966,Airport,26.0,Trip Completed,,,,,Late Night
6401,Airport,26.0,Trip Completed,,,,,Late Night
204,City,27.0,Trip Completed,2016-07-11 06:04:00,2016-07-11 06:44:00,6.0,Monday,Early Morning
632,Airport,27.0,Trip Completed,2016-07-11 12:20:00,2016-07-11 13:10:00,12.0,Monday,Day
763,City,27.0,Trip Completed,2016-07-11 16:19:00,2016-07-11 17:25:00,16.0,Monday,Evening
1786,Airport,27.0,Trip Completed,2016-07-12 09:03:00,2016-07-12 09:58:00,9.0,Tuesday,Early Morning
1968,City,27.0,Trip Completed,2016-07-12 12:10:00,2016-07-12 12:49:00,12.0,Tuesday,Day
2088,Airport,27.0,Trip Completed,2016-07-12 15:51:00,2016-07-12 17:02:00,15.0,Tuesday,Day
2473,Airport,27.0,Trip Completed,2016-07-12 20:43:00,2016-07-12 21:20:00,20.0,Tuesday,Night
2869,Airport,27.0,Trip Completed,,,,,Late Night
3742,Airport,27.0,Trip Completed,,,,,Late Night
4440,Airport,27.0,Trip Completed,,,,,Late Night
5234,City,27.0,Trip Completed,,,,,Late Night
6354,Airport,27.0,Trip Completed,,,,,Late Night
6638,City,27.0,Trip Completed,,,,,Late Night
84,City,28.0,Trip Completed,2016-07-11 04:50:00,2016-07-11 05:26:00,4.0,Monday,Early Morning
1199,City,28.0,Trip Completed,2016-07-11 21:17:00,2016-07-11 21:53:00,21.0,Monday,Night
1676,Airport,28.0,Trip Completed,2016-07-12 07:44:00,2016-07-12 08:40:00,7.0,Tuesday,Early Morning
2774,City,28.0,Trip Completed,,,,,Late Night
3220,Airport,28.0,Trip Completed,,,,,Late Night
3718,Airport,28.0,Trip Completed,,,,,Late Night
4904,Airport,28.0,Trip Completed,,,,,Late Night
6527,Airport,28.0,Trip Completed,,,,,Late Night
6710,City,28.0,Trip Completed,,,,,Late Night
1584,Airport,29.0,Trip Completed,2016-07-12 06:26:00,2016-07-12 07:18:00,6.0,Tuesday,Early Morning
1966,Airport,29.0,Trip Completed,2016-07-12 12:05:00,2016-07-12 13:12:00,12.0,Tuesday,Day
2827,City,29.0,Trip Completed,,,,,Late Night
2945,Airport,29.0,Trip Completed,,,,,Late Night
3365,City,29.0,Trip Completed,,,,,Late Night
3548,Airport,29.0,Trip Completed,,,,,Late Night
3753,City,29.0,Trip Completed,,,,,Late Night
4569,Airport,29.0,Trip Completed,,,,,Late Night
6309,Airport,29.0,Trip Completed,,,,,Late Night
6437,City,29.0,Trip Completed,,,,,Late Night
517,Airport,30.0,Trip Completed,2016-07-11 09:45:00,2016-07-11 10:24:00,9.0,Monday,Early Morning
1406,Airport,30.0,Trip Completed,2016-07-12 03:02:00,2016-07-12 03:55:00,3.0,Tuesday,Late Night
1643,Airport,30.0,Trip Completed,2016-07-12 07:18:00,2016-07-12 08:10:00,7.0,Tuesday,Early Morning
2108,Airport,30.0,Trip Completed,2016-07-12 16:14:00,2016-07-12 16:48:00,16.0,Tuesday,Evening
2647,City,30.0,Trip Completed,2016-07-12 22:46:00,2016-07-12 23:18:00,22.0,Tuesday,Night
3129,City,30.0,Trip Completed,,,,,Late Night
3738,Airport,30.0,Trip Completed,,,,,Late Night
4422,Airport,30.0,Trip Completed,,,,,Late Night
4790,City,30.0,Trip Completed,,,,,Late Night
5496,City,30.0,Trip Completed,,,,,Late Night
6484,Airport,30.0,Trip Completed,,,,,Late Night
6731,Airport,30.0,Trip Completed,,,,,Late Night
629,Airport,31.0,Trip Completed,2016-07-11 12:14:00,2016-07-11 13:00:00,12.0,Monday,Day
745,Airport,31.0,Trip Completed,2016-07-11 15:48:00,2016-07-11 16:45:00,15.0,Monday,Day
1064,City,31.0,Trip Completed,2016-07-11 19:53:00,2016-07-11 20:31:00,19.0,Monday,Evening
1886,Airport,31.0,Trip Completed,2016-07-12 10:10:00,2016-07-12 10:35:00,10.0,Tuesday,Day
5608,Airport,31.0,Trip Completed,,,,,Late Night
5877,City,31.0,Trip Completed,,,,,Late Night
6100,Airport,31.0,Trip Completed,,,,,Late Night
6659,Airport,31.0,Trip Completed,,,,,Late Night
2162,Airport,32.0,Trip Completed,2016-07-12 17:34:00,2016-07-12 18:33:00,17.0,Tuesday,Evening
3294,Airport,32.0,Trip Completed,,,,,Late Night
3686,City,32.0,Trip Completed,,,,,Late Night
4784,City,32.0,Trip Completed,,,,,Late Night
5896,City,32.0,Trip Completed,,,,,Late Night
6190,City,32.0,Trip Completed,,,,,Late Night
6551,City,32.0,Trip Completed,,,,,Late Night
145,City,33.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:37:00,5.0,Monday,Early Morning
735,City,33.0,Trip Completed,2016-07-11 15:27:00,2016-07-11 16:32:00,15.0,Monday,Day
918,Airport,33.0,Trip Completed,2016-07-11 18:22:00,2016-07-11 19:04:00,18.0,Monday,Evening
1478,City,33.0,Trip Completed,2016-07-12 05:16:00,2016-07-12 06:13:00,5.0,Tuesday,Early Morning
1957,City,33.0,Trip Completed,2016-07-12 11:45:00,2016-07-12 12:55:00,11.0,Tuesday,Day
3097,City,33.0,Trip Completed,,,,,Late Night
3981,Airport,33.0,Trip Completed,,,,,Late Night
4175,City,33.0,Trip Completed,,,,,Late Night
6237,City,33.0,Trip Completed,,,,,Late Night
738,City,34.0,Trip Completed,2016-07-11 15:30:00,2016-07-11 16:44:00,15.0,Monday,Day
2731,City,34.0,Trip Completed,,,,,Late Night
2863,Airport,34.0,Trip Completed,,,,,Late Night
3528,Airport,34.0,Trip Completed,,,,,Late Night
4653,City,34.0,Trip Completed,,,,,Late Night
5042,City,34.0,Trip Completed,,,,,Late Night
360,Airport,35.0,Trip Completed,2016-07-11 08:02:00,2016-07-11 09:05:00,8.0,Monday,Early Morning
771,Airport,35.0,Trip Completed,2016-07-11 16:19:00,2016-07-11 17:34:00,16.0,Monday,Evening
1274,City,35.0,Trip Completed,2016-07-11 22:01:00,2016-07-11 23:21:00,22.0,Monday,Night
1501,City,35.0,Trip Completed,2016-07-12 05:41:00,2016-07-12 06:47:00,5.0,Tuesday,Early Morning
1972,City,35.0,Trip Completed,2016-07-12 12:22:00,2016-07-12 12:43:00,12.0,Tuesday,Day
2871,City,35.0,Trip Completed,,,,,Late Night
3395,City,35.0,Trip Completed,,,,,Late Night
3572,City,35.0,Trip Completed,,,,,Late Night
4118,Airport,35.0,Trip Completed,,,,,Late Night
4739,City,35.0,Trip Completed,,,,,Late Night
6556,City,35.0,Trip Completed,,,,,Late Night
6677,Airport,35.0,Trip Completed,,,,,Late Night
1104,Airport,36.0,Trip Completed,2016-07-11 20:17:00,2016-07-11 21:20:00,20.0,Monday,Night
1596,Airport,36.0,Trip Completed,2016-07-12 06:39:00,2016-07-12 07:30:00,6.0,Tuesday,Early Morning
1835,Airport,36.0,Trip Completed,2016-07-12 09:35:00,2016-07-12 10:30:00,9.0,Tuesday,Early Morning
2110,Airport,36.0,Trip Completed,2016-07-12 16:19:00,2016-07-12 17:12:00,16.0,Tuesday,Evening
2759,Airport,36.0,Trip Completed,,,,,Late Night
3010,Airport,36.0,Trip Completed,,,,,Late Night
3403,City,36.0,Trip Completed,,,,,Late Night
3856,Airport,36.0,Trip Completed,,,,,Late Night
4472,City,36.0,Trip Completed,,,,,Late Night
5199,City,36.0,Trip Completed,,,,,Late Night
5612,City,36.0,Trip Completed,,,,,Late Night
6614,Airport,36.0,Trip Completed,,,,,Late Night
191,Airport,37.0,Trip Completed,2016-07-11 05:55:00,2016-07-11 06:45:00,5.0,Monday,Early Morning
333,City,37.0,Trip Completed,2016-07-11 07:43:00,2016-07-11 08:53:00,7.0,Monday,Early Morning
488,Airport,37.0,Trip Completed,2016-07-11 09:35:00,2016-07-11 10:20:00,9.0,Monday,Early Morning
1780,City,37.0,Trip Completed,2016-07-12 08:58:00,2016-07-12 09:45:00,8.0,Tuesday,Early Morning
2235,Airport,37.0,Trip Completed,2016-07-12 18:12:00,2016-07-12 19:14:00,18.0,Tuesday,Evening
2516,City,37.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:18:00,21.0,Tuesday,Night
4209,City,37.0,Trip Completed,,,,,Late Night
4726,City,37.0,Trip Completed,,,,,Late Night
